	Orders	Grassland	Wetland	Forest
1b1cc964602a397715b6ed14c0dde881	Coleoptera	0	32	0
1b399ed60371dab64dec9fa1ce1a1f15	Diptera	0	0	0
1b3a47f36829bf03680e515c319c438b	Diptera	0	0	120
1b4624f15fb7a880e4436f2f747fad82	Diptera	2472	0	0
1b7b1c8613e5f86194ff160b86df2acb	Diptera	1090	0	0
1b8589de3f7ecf367cb2e20b46eefae3	Collembola_X	0	0	0
1baed79b4fe0a01265ca9ed50e0b50cd	Diptera	0	0	0
1be11ba074ae32a89446144f374f19f0	Lepidoptera	0	0	0
1be9919dad0079572771a4864e7ce9ca	Lepidoptera	2403	0	0
1bf904b14c54817e540cfe27a02def8a	Diptera	71728	0	0
1c0b0dd039d5ee2b507f96297f36b44a	Diptera	283	0	0
1c4ba8fed28d0878abcd461daa3014d3	Diptera	2926	4026	0
1c5d2c7bf25ee89dfec3ea50a723cd8f	Hymenoptera	0	0	0
1c6e71719c9fd3e457e85e4f81e41584	Diptera	8392	0	0
1c738da988d4d94f7c13fd7b6c2bd9af	Lepidoptera	0	0	0
1c9fc2af9d8ed717fbf7cc4d81135faf	Coleoptera	0	0	0
1cb02bb2635d406d183e33994fb583bf	Hymenoptera	0	0	0
1d851271591dfb786adf48de11131907	Diptera	14174	0	0
1d9ea9c207e192fd945a10c600e930ad	Diptera	0	760	0
1dd7f7441e73d89091a7c79d69318f1c	Diptera	82	0	0
1dd90b2dea1f1d9ff88bae08712e2209	Diptera	154	0	0
1e08c08f16cbfd024c3c91c9148f188b	Diptera	0	167	0
1e15bc6bd78155417073f5eb5718a61d	Diptera	0	1278	0
1e1fca01084e190df120b38576fa06c3	Hymenoptera	17	0	0
1e4c89a6239b78b6014138facb90e76e	Diptera	1692	0	0
1e55bd3f942e5045c58d75622b0e16f8	Diptera	6532	19161	0
1e5f8c0d4911f4859792f1d491040355	unclassified.Insecta	76	0	0
1e68ec644fefba61793ade43fff0dd7a	Diptera	0	201	0
1e7f95fdc9ddc2171c40fc4e62e6fc1f	Diptera	0	0	0
1e80e8209b405b991c38655aa24aa1ce	Hymenoptera	0	0	74
1ed6309a70b1f4ed45a000db04783491	Diptera	0	1109	0
1ee8349ec416ebda68841ec1b2b095cd	Collembola_X	0	0	699
1eeacdc57c4eb727f1895401c68e6b50	Diptera	0	60	0
1efde642802af1a77ce5051135127479	Hemiptera	1776	0	0
1efe1f8491e4e0911359ca0ebdd756b0	Diptera	0	0	0
1f8a386137cb76741bbee9d024d9c246	Diptera	10857	110	0
1fbcc299bc84a7e3d80baad1deb365d3	Diptera	792	0	0
1fd0def4d88fc74af183cf4f19c29695	unclassified.Arthropoda	0	0	0
1fd6be3c124e5027a96a912a26607981	Diptera	6324	0	0
2038288a1b6b2d5ec8dfe985862fa768	Diptera	0	6492	10977
2062d1869abae3db1e0595dd5bed2dcb	Diptera	0	20	4996
20ea63ae26e3b3826a516fbec9c11bdf	Diptera	2809	0	0
20fcc4a3b8896406fc40a68c468d2006	Diptera	0	1516	14209
211430bdc2bde72ee22ccda5c14ba955	Diptera	0	0	219
219714843aa24c64ef3bc0e43a9176a0	Hemiptera	0	0	79
21abb3dbdf690a69adf716460e9b04fe	Coleoptera	0	429	0
21ea75ed0f5df0bd877078e76748e086	Diptera	0	0	0
222d4bc04e9006f6c3677f3227942d27	Collembola_X	0	0	252
222e035300138850c847ff0a10cd0e4a	Diptera	0	0	0
22590c3a5854fa094d51f4ac9e0b460e	Diptera	0	426	0
22591b273719b4693e1aafbd29e31646	Diptera	4036	0	0
22d2d6c84e75208a8f3e1bcfc25bfa43	Diptera	2	0	0
22dceb4ae09b29359fc30e8830387012	Diptera	0	0	0
22ef55a6450f2eb65cfe2448ac295eb2	Collembola_X	0	5245	0
23a2e3bce9958122db15f688f3cb03fd	Diptera	0	1551	0
23bc88bb9affefc1f2091fe5c84e2e3c	Diptera	46	0	0
2466d30e6aeee2330977f1597ba6373c	Diptera	0	0	0
249a49bc1636b6e6c1e93fddbcf92d45	unclassified.Insecta	1	0	0
2550705a6dc3308ba21c0418c16a4a6c	Diptera	6202	0	0
2559c4f77abb832a0deff1e13eddcbd2	Diptera	1212	0	0
25c972e023429f359fb8977ec1f9e432	Diptera	0	0	0
25dc06567e2b8551a3f60feda7e2e29e	Araneae	0	245	1308
263d13b0d7b857110cdf0d00efe9d02c	Lepidoptera	0	0	0
264bc33916c940d4e79c2f9982b48c0d	Diptera	0	0	260
275b6eac0c3d2af3d2c082eae441ecbe	Diptera	7632	2240	6202
2781062c6159410918b9c429f3e7a403	Diptera	904	0	0
278858a814e0a3aef12ba26ef157f743	Diptera	574	0	0
27c585a87f183f7e91be284ac6fce643	Diptera	338	0	0
27e06ba5d887cf03b33e625869a078c7	Diptera	9581	0	0
282783a94cee8ba199564e9fa5869a9d	unclassified.Insecta	0	0	0
283b04f0ec715026e4ec2b7d8263765a	Diptera	70	0	0
28634927afbd34c3c52fea79725b827c	Diptera	0	0	49703
28a4971e545c7341b6e0b1192a5b7251	Diptera	0	13488	0
28bf5ea2c65dfb0b7da5657473333424	Diptera	1574	0	0
28c5d8504956065f1d9cc2eaf8fc553e	Diptera	190	0	0
2901c2d9bd6db9961123358806d0f196	Lepidoptera	0	0	0
2924171bbd5d3519586f71b3bedb1cb4	Diptera	8499	2677	0
29322a8bf9c17a923d7acf146bcfa415	Diptera	8772	0	0
293afdba5c5e0b725d93be30301c8c7c	Diptera	0	0	0
293ede131de3c85fe486d6ac22573a7b	Araneae	119	0	0
298b84a693ba8ec1036e960d017cb349	Diptera	0	0	0
298c9f4a40ad8a972e20efd80f3d2376	Diptera	0	0	0
2a0e7bd1d81f5be42b4c5db3f3d391df	Diptera	2	0	0
2a785107bb362945172c8b8dd5528434	Coleoptera	0	0	0
2a8f7fbd7cfdc27c8ab0495c4e8a5635	Diptera	12133	2598	1008
2ac224ae5940c360b34e451363103a8d	Hymenoptera	107	0	0
2af790a88ac032e4a1123f34c0cf99a2	Diptera	0	0	0
2b39e146ff99fb705d146dba461feb58	Diptera	0	0	0
2b540b87928e1f4a46c91aa47cfa2626	Diptera	0	0	0
2b5b1dcf82e026b950f94a631da2dd2e	Diptera	0	0	0
2b7d4b8e2e9f0703aade6907cb911fda	Diptera	0	210	0
2b90c258f33939f01bfbd3757ae9b052	unclassified.Arthropoda	0	0	0
2c0a1c4d2224b5f6fe93521458be5ee8	Diptera	0	218	0
2c1068976ed79f1da7385f24f692d1ad	Hymenoptera	242	0	0
2c1f23260afd09f11e911cceed3ddab3	Diptera	114	0	0
2c437eba7d1b02d415c37dea54416fc1	Coleoptera	0	0	0
2c68ad893e4e178dd44e92dfe6ee6738	Coleoptera	0	0	0
2c7c26fa3a1d914fda86ac1e98dc86e2	Diptera	140	0	0
2c92a74d7efa28b9c110a11b498c760c	Diptera	487	0	0
2dd000cd486d5f4028c58bf272302653	Collembola_X	0	0	80591
2df239c2828e24af1e03f0a670f31304	Diptera	0	807	0
2e0bc7bd51230db2d1a969d8f8fed9ac	Hymenoptera	4583	0	0
2e1e8cf8e2d86013e86d7dbf219941e6	Hymenoptera	3051	0	0
2e50645b337d1ccf78ad4bac86ff7e93	Diptera	344	0	0
2e78f1596b449c30ef02ec8ed9a868eb	Diptera	0	0	0
2ee495d7738fbf80e3fe9285657127d7	Lepidoptera	0	40	0
2f295ade429ff2a0e090a173defce599	Diptera	113	0	0
2f39e5b0803cb8b522898651d296da68	Collembola_X	0	4	0
2f90010338a57d382409b6b7653e344d	Diptera	30	0	0
2ff9338213b73d2d0413c23dc78d3ce2	Lepidoptera	2555	0	0
3060ba6ff1f6dcf840282e0ced7982e2	Diptera	583	55	0
30d3ca131faedf7d1d24cb3159e9732b	Diptera	3743	0	0
3114eee6ab361ecc108cca44df9b653d	Diptera	0	0	0
3148ba881799a4543cd702f3b9164c53	Diptera	717	109	0
31a6d1b5fe1a527f9f83beeaa5e20aa5	Hemiptera	0	0	0
31c9b89907e5f31320f975e1bebba818	Hymenoptera	0	39	0
31d78d725af02e7d66eb385016509dcb	Thysanoptera	0	0	275
3210001e96797aef10bc69ec22da291e	Collembola_X	344340	351053	130115
323361cfaca3cd5b1373ffb7226f1f63	Diptera	0	0	0
3240f7083cad5f9b6cc71146e0a16cf5	Collembola_X	0	0	0
325b09aa5be804f88d511cf682f88a9b	Diptera	275	0	0
32a11288de45a813674511e67e5758ba	Collembola_X	3351	0	0
32b4f47e2bd829a68b3b4a76af78b141	Collembola_X	6492	0	0
32c5a8a6b6a8a1748c6d31b8b96ddac7	Araneae	0	0	0
3342bdc6eaa083ff682572a5d69cf918	Diptera	0	0	0
335d7880c236f05bd623c7081ae68e15	Diptera	0	0	0
336e7eadd18168c2ec912343bd99c27c	Diptera	0	1382	0
338d8d12c88fe3d2a7bb548d2e7090a5	Diptera	0	62	0
33b46f748ece7e786600096d0252e452	Collembola_X	0	3	0
33daebefd7195aa0a41e3892657e0153	Sarcoptiformes	0	0	53
33ef8ee78212ec2909bf327b5debcb3a	Diptera	3964	0	0
33f165d7c6d1d3a87f9c6104055a883e	Diptera	159	0	0
3443f273866fef310b19a73e0cf35839	Hymenoptera	0	0	0
34d1ab7ac8baf8a58f17a130663969e7	Diptera	0	823	0
3509b9a8cb1a652065b57985fdaf9565	Diptera	0	64710	0
35b31ce2661606f21404c4c4b883924b	Coleoptera	19973	0	0
35bb905d78e89fc1804de1eb665d9df5	Hemiptera	0	0	1698
35c28ceac62e947b7078ecc3bada9af7	Diptera	0	0	0
35dad155ebdbd8fcacaf68e9a95bc7ee	Lepidoptera	0	705	0
36578d6d101c9534aebd56cedb1161cb	Hemiptera	351	679	0
367321a45abaa084c6115a8c649b15ce	Diptera	560	0	107
36ade287aeb51307743eadf642b342f1	Diptera	5630	0	0
36f8e853ce81105bcc92c3630b08afea	Diptera	0	0	0
36fa3f70ce564f3ae68a67e19cb88e9a	Diptera	0	591	0
37035964dbf0080e5308d8a52f398f8c	Diptera	905	0	0
3711ed21bbd0cce4209284b645241dfd	unclassified.Arthropoda	0	0	0
37134db4b7472631bb269e92624a1bc7	unclassified.Insecta	0	823	0
3721d75ee9958b2b2b9f1a9f6c2d1c84	Diptera	262	1298	0
372c70f6601dfb376bf4c3455ca5c9a9	Diptera	0	0	0
37684fbc5b54831498d7f86aea76c1ce	Diptera	10438	0	0
37e2fbe9cea05485b30a45d96f524320	Lepidoptera	0	0	0
37e35fc6aa8e6ac500724e952782423f	Diptera	0	0	379
37e3cc56713bc06cb6f6a5b40639bea3	Diptera	0	0	159
3818fe1efd7bb01db4ec67cfe50c8119	Diptera	133	0	0
3824749b3ab4e204a38fa5b8b20f4cbd	Diptera	12742	0	0
3847a28e9402733790b0d4876a6a127b	Diptera	1456	97	0
387fb81ff453875f42a7fa3efb01594b	Araneae	0	266	0
388c13153e4314cd68eb7e24244f2278	Hymenoptera	0	338	0
3996eb47a2b77da939704ab29e73da86	Coleoptera	0	0	0
39b37d0f8e1e8267cb57f96e9f399ee2	Diptera	2092	0	0
39b3e37388322558eae83c5c215f61d2	Diptera	0	0	0
39d773c30f67de7872c69a902d02a7a8	Lepidoptera	0	0	0
3a281c7784ace8e070773437e3939dfb	Diptera	2213	0	0
3a2904629fb10096a285a12ea0ad6a0b	Coleoptera	569	0	0
3a4d6262ad70611a7ef59b2af3a22f43	Diptera	0	0	0
3a590146e5ec3770a2182af6b3b24ad4	Sarcoptiformes	0	0	0
3af348fe01bd2a6034fde1e46c075347	Hymenoptera	49	46	0
3b792e576f368150b0bd76d962fd9553	Diptera	475726	41	0
3b908c536b2ead5a068fcc0acabcfdc2	Diptera	103	0	0
3b99a484dd0036ad6d93cf24c3a1c6c3	Blattodea	457	338	950
3ba41eb8e4410f18ea5bf47169746c83	Diptera	6953	2873	4101
3ba6605e70eb804c824268aa3140236a	Hymenoptera	0	0	0
3bb17a037caf5b3088586bf5909b9570	Sarcoptiformes	0	0	141
3bb500b78cb35ef16a4ffba76cd7958e	Collembola_X	0	23558	0
3bee36a73beb54bd995ea0b9f31f7702	Diptera	5525	0	0
3bf25772bf482c496f42210f06df9d46	Coleoptera	0	0	0
3bfb7606fd9358c2e225ebde85051721	Diptera	488	0	0
3c0e662ddd016ad4294d8421a8accc9c	Diptera	541	0	0
3c14ebea3cc3e64780e4082d4fbf2bab	Diptera	0	0	0
3c2d7cb32c612e55a69cd17c43c32c35	Diptera	0	135	0
3c9e40b51ddf6238762bd3cead8c2d3c	Collembola_X	0	9962	0
3cb7b2c51ecaf6062c05cafbaca7fa23	Diptera	0	0	0
3cb8de22923afa9209bc1e9fa33f4767	Diptera	80	0	0
3cceb8303ecfbb450c428a30127255a4	Hymenoptera	98	0	0
3ce03f7a93680b5b76aabd5c3b9edf96	Diptera	0	415	0
3ce3bfb17b9a8e0ec433425ba690c4a7	Diptera	0	2251	0
3d5575d489930b6ae5c3a0e89a8966b3	Diptera	9332	315	0
3d6203ed56b1740f080b277b7d7482d3	Diptera	1066	0	0
3d68c23f146d7c4506c09514726f8022	Diptera	571	0	0
3d8203b0108250d76b62e9e8adf854f8	Diptera	0	0	0
3d98735a92a727cff6fae8975051b9d9	Diptera	0	63	0
3d9f68a1576d3ceba8b4e6ba7844c3ae	Diptera	0	0	1595
3da1064a99b4812eb34e375a6871771a	Diptera	5	0	0
3da416facf12f97ef8aaccc63adb561a	Diptera	27	0	0
3dce8c241a8c4ac1fb42ae111116f270	Coleoptera	0	0	0
3dd59c3d698d9f14321ef03b680744ee	Araneae	0	0	442
3de23839612aaedf2129e4e4a799d12b	Diptera	1348	0	0
3e1aa6b0e6347d74cae2a38da5cbab1e	Blattodea	14553	5831	0
3e3338165c6e5383897de1300f22ce4b	Diptera	0	17089	0
3e68367a7b58c4b9ca0a4dadcf6a4792	Araneae	0	0	4660
3e94f946cf111a36c76fdeee15be581b	Diptera	0	208	0
3ec807333813e14861221c5553393df2	Diptera	0	48	0
3ece816f10e3861a422e84b31024a9ae	Diptera	39080	89884	72096
3efa73a0c349a038cfb00e5929e36d2d	Diptera	0	0	0
3f0ecf30e1f8a664c95f98b7ead68c36	Diptera	0	0	0
3f31c9adfb5f84a28298e202e812d169	Diptera	3715	0	0
3f359c6576df3cd66181745eea89dd41	Coleoptera	0	0	0
3f487430c44ae9166471075a25d57d9b	Diptera	1013	0	0
3fd13e04c5f01b43089579bf0c08bac7	Diptera	5160	0	0
401d77642c1db819b242532d94e69f22	Diptera	0	0	0
4036637718f491597ecd5baf1e0e7140	Diptera	85	0	0
40419134a228416774732359d39d3fb6	Collembola_X	6690	0	0
4044874af7cf7db1687076da1d27cab6	Sarcoptiformes	0	0	0
404801c695ae9e6ceb4700b1441f48a1	Diptera	0	236	156
4069f0e6ce29c95c08d2572b1417585a	Diptera	2743	0	0
4080f97cceb4c68e31fcb191afd9acb7	Diptera	4839	602	12590
40c00695d4bf24beaa2e34b13e5ce2de	Diptera	0	0	3246
40c371ee346d7b5f042cb15e01b8cb03	Coleoptera	0	814	0
411448c9dbb8d3214efb0647244924b4	Diptera	31301	8146	24585
4125fc9306f74c4bd915e6cce5a854fb	Diptera	380	0	0
412f10acf917ea4523d5c5fdd6f92311	unclassified.Arthropoda	0	0	15
41356ee86994a938af432adc55893351	Diptera	0	0	0
418505353ab2ec5e4102d827ce61dd12	Diptera	0	0	0
419ac40b19a58891e6be6d621c3d18e6	Collembola_X	5	0	0
419db218466a05f435e8499fa9a9e580	Diptera	0	193	0
4205dd469c84a2c1aec911337fd7958f	Diptera	0	92	0
4244aeae7a826c885e03aeb0bf6da1f9	Diptera	1512	0	0
425b3913ab400a62e2752009d69a5ec7	Diptera	0	0	0
42a13e26eced52701dd4b60ad780c1d4	Diptera	2881	3607	0
42b1d063e6528aca91ba5bc6a2f93c4e	Diptera	0	0	89067
435159438976e53ef5d0381c05ff8a20	Diptera	1226	0	0
43680cb45947665989c53993df38f582	Diptera	0	0	0
44280048185a86ac8d987ba8abd71d63	Diptera	20102	223	0
44c21dd3d73e5320b173fbbb57084bf2	Diptera	0	210	0
44d9c96f157e0303846735690f1c7f19	Diptera	6	0	0
44e9431c4da8a5ceba70fa2f29e2b118	unclassified.Arthropoda	0	0	97
44f89faa335aa93636c4bf101992f0d4	Diptera	0	0	0
450f801125f8382102e0736ab33ae245	Collembola_X	0	0	4027
452d2679f194dfc0d96456d9024d1b26	Hemiptera	0	104	0
4587c85e5557d6768092f88e4e89fde2	Diptera	0	4621	0
4599bbc896c56b7ccd8d5308f22ee65c	Diptera	11968	0	0
